"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"33",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","238075",1108.0976,148170,"1","CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C","DTXSID6022898"
"34",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234292",344.114,129627,"0.674","CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1","DTXSID80322616"
"35",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234826",334.515,97113.1,"1","CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O","DTXSID8020911"
"36",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234826",334.515,97113.1,"0.961","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829"
"37",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234292",344.114,129627,"1","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829"
"38",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237656",327.72771,5914580,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
"39",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237862",297.616,106844,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
"40",313.2,76430,12.8778,69919.4,"0.997","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C","DTXSID1022974","238824",327.3108,0,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"41",313.2,76430,12.8778,69919.4,"0.997","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C","DTXSID1022974","238817",329.78597,3445030,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"42",313.2,76430,12.8778,69919.4,"1","C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12","DTXSID5023667","238824",327.3108,0,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"43",313.2,76430,12.8778,69919.4,"1","C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12","DTXSID5023667","238817",329.78597,3445030,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"44",313.2,42402,12.4865,174672.59,"1","C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12","DTXSID5023667","238824",327.3108,0,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"45",313.2,42402,12.4865,174672.59,"1","C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12","DTXSID5023667","238817",329.78597,3445030,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"46",313.2,76430,12.8778,69919.4,"0.933","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","DTXSID2023016","238824",327.3108,0,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
"47",313.2,76430,12.8778,69919.4,"0.933","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","DTXSID2023016","238817",329.78597,3445030,"1","CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C","DTXSID2046626"
