"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"74",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"75",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"76",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"77",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"78",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"79",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"80",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"81",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"82",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"83",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"84",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"85",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"86",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"87",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"88",211.1,"31436",8.7758,12358.65,"0.601","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"89",212.1,"246",4.5664,14923230,"1","CCCCN(CCC(=O)OCC)C(C)=O","DTXSID9035753","1007",288.43746,36243.3,"1","ON=C1CCCCCCC(=O)OCCC1","DTXSID70311397"
"90",307.1,"11083",13.3489,41308.84,"0.591","CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1","DTXSID80322616","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"91",307.1,"31125",13.5627,12436.87,"0.878","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"92",307.1,"31125",13.5627,12436.87,"0.507","CCN(CC)CCNC(=O)C1=CC=C(Cl)C=C1OCC=C","DTXSID9048853","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"93",307.1,"31125",13.5627,12436.87,"1","CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O","DTXSID8020911","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"94",307.1,"11083",13.3489,41308.84,"1","CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O","DTXSID8020911","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"95",307.1,"11083",13.3489,41308.84,"0.721","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"96",307.1,"11083",13.3489,41308.84,"0.688","C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1","DTXSID9045631","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"97",307.1,"31125",13.5627,12436.87,"0.718","CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1","DTXSID80322616","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"98",307.1,"31125",13.5627,12436.87,"0.706","C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1","DTXSID9045631","3604",312.801,25615.1,"1","CC(C)N1N=C(C2=CC3=C(N2)C=CC(O)=C3)C2=C1N=CN=C2N","DTXSID5048685"
"99",349.2,"46394",13.567,46725.73,"1","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","DTXSID4022947","5116",327.61558,55391.9,"1","C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12","DTXSID3045980"
"100",349.2,"46394",13.567,46725.73,"1","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","DTXSID4022947","5118",379.66483,23677.8,"1","C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12","DTXSID3045980"
"101",349.2,"16256",13.3503,307759.8,"1","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","DTXSID4022947","5116",327.61558,55391.9,"1","C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12","DTXSID3045980"
"102",349.2,"16256",13.3503,307759.8,"1","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","DTXSID4022947","5118",379.66483,23677.8,"1","C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12","DTXSID3045980"
